sma_fast,sma_slow,sma_trend,sl_pct,tp_pct,position_size,trailing_stop_pct,total_return
20,100,300,9,20,0.06619225123472622,9.263890094699116,263.02949900778873
20,100,300,10,20,0.06619225123472622,9.263890094699116,263.02949900778873
18,105,300,9,15,0.06619225123472622,9.263890094699116,262.81158244168836
18,105,300,10,15,0.06619225123472622,9.263890094699116,262.81158244168836
18,105,300,8,15,0.06619225123472622,9.263890094699116,260.9578435603411
24,110,300,10,20,0.06619225123472622,9.263890094699116,260.10097903887225
24,110,300,9,20,0.06619225123472622,9.263890094699116,260.10097903887225
20,100,300,8,20,0.06619225123472622,9.263890094699116,258.3378944772128
24,110,300,8,20,0.06619225123472622,9.263890094699116,258.1062684373541
20,100,300,9,15,0.06619225123472622,9.263890094699116,257.3026967906734
20,100,300,10,15,0.06619225123472622,9.263890094699116,257.3026967906734
20,100,300,9,25,0.06619225123472622,9.263890094699116,253.60605359251602
20,100,300,10,25,0.06619225123472622,9.263890094699116,253.60605359251602
20,100,300,8,15,0.06619225123472622,9.263890094699116,252.6110922600974
22,110,300,9,20,0.06619225123472622,9.263890094699116,250.70212435253785
22,110,300,10,20,0.06619225123472622,9.263890094699116,250.70212435253785
20,100,300,8,25,0.06619225123472622,9.263890094699116,248.91444906194008
22,110,300,8,20,0.06619225123472622,9.263890094699116,248.60547793583683
24,110,300,9,25,0.06619225123472622,9.263890094699116,247.66211232231836
24,110,300,10,25,0.06619225123472622,9.263890094699116,247.66211232231836
24,100,300,10,20,0.06619225123472622,9.263890094699116,247.08858873242485
24,100,300,9,20,0.06619225123472622,9.263890094699116,247.08858873242485
24,110,300,8,25,0.06619225123472622,9.263890094699116,245.66740172080026
24,100,300,8,20,0.06619225123472622,9.263890094699116,245.03935865413337
20,105,300,9,15,0.06619225123472622,9.263890094699116,243.35228967437538
20,105,300,10,15,0.06619225123472622,9.263890094699116,243.35228967437538
22,105,300,10,20,0.06619225123472622,9.263890094699116,242.87043123725
22,105,300,9,20,0.06619225123472622,9.263890094699116,242.87043123725
24,105,300,9,20,0.06619225123472622,9.263890094699116,241.80007477412437
24,105,300,10,20,0.06619225123472622,9.263890094699116,241.80007477412437
22,105,300,9,15,0.06619225123472622,9.263890094699116,241.77911710951392
22,105,300,10,15,0.06619225123472622,9.263890094699116,241.77911710951392
22,110,300,10,15,0.06619225123472622,9.263890094699116,241.42903522859342
22,110,300,9,15,0.06619225123472622,9.263890094699116,241.42903522859342
22,105,300,8,20,0.06619225123472622,9.263890094699116,241.3746612838676
24,110,300,10,15,0.06619225123472622,9.263890094699116,240.5730385587773
24,110,300,9,15,0.06619225123472622,9.263890094699116,240.5730385587773
18,105,300,10,20,0.06619225123472622,9.263890094699116,240.44120648758707
18,105,300,9,20,0.06619225123472622,9.263890094699116,240.44120648758707
22,105,300,8,15,0.06619225123472622,9.263890094699116,240.28334715613153
20,105,300,9,20,0.06619225123472622,9.263890094699116,240.13227966182234
20,105,300,10,20,0.06619225123472622,9.263890094699116,240.13227966182234
22,110,300,10,25,0.06619225123472622,9.263890094699116,240.00280661266208
22,110,300,9,25,0.06619225123472622,9.263890094699116,240.00280661266208
20,105,300,8,15,0.06619225123472622,9.263890094699116,239.92677256564534
24,105,300,8,20,0.06619225123472622,9.263890094699116,239.80536417260618
22,110,300,8,15,0.06619225123472622,9.263890094699116,239.33238881189243
18,105,300,9,25,0.06619225123472622,9.263890094699116,239.06053620532694
18,105,300,10,25,0.06619225123472622,9.263890094699116,239.06053620532694
18,105,300,8,20,0.06619225123472622,9.263890094699116,238.5874676062398
24,110,300,8,15,0.06619225123472622,9.263890094699116,238.57832795725918
24,100,300,9,25,0.06619225123472622,9.263890094699116,238.233841269934
24,100,300,10,25,0.06619225123472622,9.263890094699116,238.233841269934
22,110,300,8,25,0.06619225123472622,9.263890094699116,237.9061601959611
22,90,300,9,20,0.06619225123472622,9.263890094699116,237.5193165803971
22,90,300,10,20,0.06619225123472622,9.263890094699116,237.5193165803971
18,105,300,8,25,0.06619225123472622,9.263890094699116,237.20679732397966
20,105,300,8,20,0.06619225123472622,9.263890094699116,236.7067625530923
24,100,300,8,25,0.06619225123472622,9.263890094699116,236.18461119164252
22,105,300,10,25,0.06619225123472622,9.263890094699116,235.97580467377202
22,105,300,9,25,0.06619225123472622,9.263890094699116,235.97580467377202
22,105,300,8,25,0.06619225123472622,9.263890094699116,234.48003472038965
22,90,300,8,20,0.06619225123472622,9.263890094699116,232.62451766195358
24,105,300,10,15,0.06619225123472622,9.263890094699116,232.4181691967121
24,105,300,9,15,0.06619225123472622,9.263890094699116,232.4181691967121
24,105,300,10,25,0.06619225123472622,9.263890094699116,232.09706308440042
24,105,300,9,25,0.06619225123472622,9.263890094699116,232.09706308440042
22,100,300,10,20,0.06619225123472622,9.263890094699116,230.7742771129145
22,100,300,9,20,0.06619225123472622,9.263890094699116,230.7742771129145
24,105,300,8,15,0.06619225123472622,9.263890094699116,230.42345859519395
24,105,300,8,25,0.06619225123472622,9.263890094699116,230.10235248288228
20,105,300,10,25,0.06619225123472622,9.263890094699116,229.2131886622226
20,105,300,9,25,0.06619225123472622,9.263890094699116,229.2131886622226
18,100,300,9,15,0.06619225123472622,9.263890094699116,227.58373919222942
18,100,300,10,15,0.06619225123472622,9.263890094699116,227.58373919222942
22,90,300,10,25,0.06619225123472622,9.263890094699116,226.49202946738947
22,90,300,9,25,0.06619225123472622,9.263890094699116,226.49202946738947
20,105,300,8,25,0.06619225123472622,9.263890094699116,225.7876715534925
